,item_brand,item_name,item_price,item_link
116,Puma,Women's Muse X-2 Casual Sneakers from Finish Line,$50.00,https://www.macys.com/shop/product/puma-womens-muse-x-2-casual-sneakers-from-finish-line?ID=10424350&CategoryID=56233
117,Lauren Ralph Lauren,Bernadine Riding Boots,$185.00,https://www.macys.com/shop/product/lauren-ralph-lauren-bernadine-riding-boots?ID=10504023&CategoryID=56233
118,Tahari Girls,Izabelle D'orsay Flats,$26.93,https://www.macys.com/shop/product/tahari-girls-izabelle-dorsay-flats?ID=10365705&CategoryID=56233
119,Steve Madden,Winnie Harlow x Badgirl Tie-Up Stiletto Sandals,$89.99,https://www.macys.com/shop/product/winnie-harlow-x-steve-madden-badgirl-tie-up-stiletto-sandals?ID=10355593&CategoryID=56233
120,Bandolino,Bari Pointy Toe Booties,$49.43,https://www.macys.com/shop/product/bandolino-bari-pointy-toe-booties?ID=10492549&CategoryID=56233
121,Karen Scott,"Vanni Ankle Booties, Created for Macy's",$29.63,https://www.macys.com/shop/product/karen-scott-vanni-ankle-booties-created-for-macys?ID=10423450&CategoryID=56233
122,JBU,by Jambu Rainey Duck Boots,$44.93,https://www.macys.com/shop/product/jbu-by-jambu-rainey-duck-boots?ID=10347325&CategoryID=56233
123,MICHAEL Michael Kors,Sutton Moccasins ,$56.43,https://www.macys.com/shop/product/michael-michael-kors-sutton-moccasins?ID=8599896&CategoryID=56233
124,Tahari Girls,Aubryn Slip On Sneakers,$28.93,https://www.macys.com/shop/product/tahari-girls-aubryn-slip-on-sneakers?ID=10365757&CategoryID=56233
125,Nike,Women's Air Heights Casual Sneakers from Finish Line,$50.00,https://www.macys.com/shop/product/nike-womens-air-heights-casual-sneakers-from-finish-line?ID=10462589&CategoryID=56233
126,Circus by Sam Edelman,"Carmen Flats, Created For Macy's",$25.03,https://www.macys.com/shop/product/circus-by-sam-edelman-carmen-flats-created-for-macys?ID=10421521&CategoryID=56233
127,Sperry,Women's Saltwater Duck Booties,$130.00,https://www.macys.com/shop/product/sperry-womens-saltwater-duck-booties?ID=10488823&CategoryID=56233
128,Kenneth Cole Reaction,Women's Corie Boots,$65.93,https://www.macys.com/shop/product/kenneth-cole-reaction-womens-corie-boots?ID=10479284&CategoryID=56233
129,kate spade new york,Lance Sneakers,$42.93,https://www.macys.com/shop/product/kate-spade-new-york-lance-sneakers?ID=10504028&CategoryID=56233
130,Steve Madden,Winnie Harlow x Princess Stiletto Pumps,$79.99,https://www.macys.com/shop/product/winnie-harlow-x-steve-madden-princess-stiletto-pumps?ID=10355592&CategoryID=56233
131,Madden Girl,Bella Two-Piece Block Heel Sandals,$23.93,https://www.macys.com/shop/product/madden-girl-bella-two-piece-block-heel-sandals?ID=10479370&CategoryID=56233
132,Thalia Sodi,"Women's Roxxie Mules, Created For Macy's",$34.63,https://www.macys.com/shop/product/thalia-sodi-womens-roxxie-mules-created-for-macys?ID=10478389&CategoryID=56233
133,MICHAEL Michael Kors,Margot Platform Dress Sandals,$57.93,https://www.macys.com/shop/product/michael-michael-kors-margot-platform-dress-sandals?ID=10374567&CategoryID=56233
134,MICHAEL Michael Kors,Dorothy Leather Flex Tall Boots,$119.99,https://www.macys.com/shop/product/michael-michael-kors-dorothy-leather-flex-tall-boots?ID=8599181&CategoryID=56233
135,Naturalizer,Marianne Sneakers,$39.99,https://www.macys.com/shop/product/naturalizer-marianne-sneakers?ID=10469771&CategoryID=56233
136,MICHAEL Michael Kors,Frenchie Platform Booties,$86.93,https://www.macys.com/shop/product/michael-michael-kors-frenchie-platform-booties?ID=8599218&CategoryID=56233
137,Vince Camuto,Leera Espadrille Wedge Sandals,$34.03,https://www.macys.com/shop/product/vince-camuto-leera-espadrille-wedge-sandals?ID=10362902&CategoryID=56233
138,Sam Edelman,Winona Western Booties,$111.99,https://www.macys.com/shop/product/sam-edelman-winona-western-booties?ID=10440531&CategoryID=56233
139,Style & Co,"Alyson Slip-On Loafer Flats, Created for Macy's",$23.93,https://www.macys.com/shop/product/style-co-alyson-slip-on-loafer-flats-created-for-macys?ID=10478299&CategoryID=56233
140,K-Swiss,Women's Court Casper Casual Sneakers from Finish Line,$30.00,https://www.macys.com/shop/product/k-swiss-womens-court-casper-casual-sneakers-from-finish-line?ID=10337819&CategoryID=56233
141,Skechers,Women's Relaxed Fit Reggae Fest Base Layer Boots from Finish Line,$45.00,https://www.macys.com/shop/product/skechers-womens-relaxed-fit-reggae-fest-base-layer-boots-from-finish-line?ID=10397568&CategoryID=56233
142,Kamik,Women's Rogue Waterproof Winter Boots from Finish Line,$65.00,https://www.macys.com/shop/product/kamik-womens-rogue-waterproof-winter-boots-from-finish-line?ID=10424311&CategoryID=56233
143,American Rag,"Ashlyn Leather Leather Booties , Created for Macy's",$59.93,https://www.macys.com/shop/product/american-rag-ashlyn-leather-leather-booties-created-for-macys?ID=10478390&CategoryID=56233
144,Charter Club,"Margott Suede Tassel Loafers, Created for Macy's",$37.93,https://www.macys.com/shop/product/charter-club-margott-suede-tassel-loafers-created-for-macys?ID=10423352&CategoryID=56233
145,UGG®,Women's Jass Slip-On Sneakers,$74.99,https://www.macys.com/shop/product/ugg-womens-jass-slip-on-sneakers?ID=10474968&CategoryID=56233
146,INC International Concepts,"INC Women's Zitah Pointed Toe Pumps, Created for Macy's",$38.93,https://www.macys.com/shop/product/inc-womens-zitah-pointed-toe-pumps-created-for-macys?ID=10397657&CategoryID=56233
147,Puma,Women's Carina Leo Casual Sneakers from Finish Line,$40.00,https://www.macys.com/shop/product/puma-womens-carina-leo-casual-sneakers-from-finish-line?ID=10444214&CategoryID=56233
148,Lucky Brand,Baley Perforated Chop Out Booties ,$99.99,https://www.macys.com/shop/product/lucky-brand-baley-perforated-chop-out-booties?ID=10458225&CategoryID=56233
149,Sam Edelman,Sally Pointed-Toe Flats,$48.93,https://www.macys.com/shop/product/sam-edelman-sally-pointed-toe-flats?ID=10426385&CategoryID=56233
150,adidas,Women's NMD R1 Casual Sneakers from Finish Line,$100.00,https://www.macys.com/shop/product/adidas-womens-nmd-r1-casual-sneakers-from-finish-line?ID=10375136&CategoryID=56233
151,Tahari Girls,Tawnie Thong Flat Sandals,$18.93,https://www.macys.com/shop/product/tahari-girls-tawnie-thong-flat-sandals?ID=10365676&CategoryID=56233
152,MICHAEL Michael Kors,Preston Espadrille Wedge Sandals,$51.73,https://www.macys.com/shop/product/michael-michael-kors-preston-espadrille-wedge-sandals?ID=8599853&CategoryID=56233
153,Skechers,Women's Synergy Real Estate Boots from Finish Line,$65.00,https://www.macys.com/shop/product/skechers-womens-synergy-real-estate-boots-from-finish-line?ID=10462530&CategoryID=56233
154,Bzees,Niche Flats,$34.93,https://www.macys.com/shop/product/bzees-niche-flats?ID=10423089&CategoryID=56233
155,American Rag,"Milly Booties, Created for Macy's",$34.63,https://www.macys.com/shop/product/american-rag-milly-booties-created-for-macys?ID=10423456&CategoryID=56233
156,Nike,Women's Legend React 2 Running Sneakers from Finish Line,$50.00,https://www.macys.com/shop/product/nike-womens-legend-react-2-running-sneakers-from-finish-line?ID=10316720&CategoryID=56233
157,Skechers,Women's Summits Alpine View Wide Width Walking Sneakers from Finish Line,$30.00,https://www.macys.com/shop/product/skechers-womens-summits-alpine-view-wide-width-walking-sneakers-from-finish-line?ID=10208713&CategoryID=56233
158,G by GUESS,Aylan Booties,$32.43,https://www.macys.com/shop/product/g-by-guess-aylan-booties?ID=9791942&CategoryID=56233
159,New Balance,Women's FuelCore NERGIZE Mule Floral Walking Sneakers from Finish Line,$30.00,https://www.macys.com/shop/product/new-balance-womens-fuelcore-nergize-mule-floral-walking-sneakers-from-finish-line?ID=10353527&CategoryID=56233
