,item_name,item_price,item_color,item_link
78,MAC Lucky Stars Lipstick Kit ($44 Value),$22.13,"['VIBRA', 'NEUTRAL']",https://shop.nordstrom.com/s/mac-lucky-stars-lipstick-kit-44-value/5384723?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=vibra
79,Hunter Original Play Waterproof Rain Bootie (Women),$56.98,[],https://shop.nordstrom.com/s/hunter-original-play-waterproof-rain-bootie-women/5525889?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=wader%20yellow
80,UGG® Grove Genuine Shearling Trim Slipper (Women),$69.90,"['CHESTNUT SUEDE', 'CHARCOAL SUEDE']",https://shop.nordstrom.com/s/ugg-grove-genuine-shearling-trim-slipper-women/5319375?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=chestnut%20suede
81,UGG® Classic Cosmos sequin Short Boot (Women),$113.90,[],https://shop.nordstrom.com/s/ugg-classic-cosmos-sequin-short-boot-women/5319354?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=silver%2F%20gold
82,UGG® Dakota Water Resistant Slipper (Women),$69.95,"['NIGHTSHADE SUEDE', 'MOLE SUEDE']",https://shop.nordstrom.com/s/ugg-dakota-water-resistant-slipper-women/5533921?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=nightshade%20suede
83,Tory Burch Metal Miller Flip Flop (Women),$149.90,[],https://shop.nordstrom.com/s/tory-burch-metal-miller-flip-flop-women/5481296?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=perfect%20navy%20%2F%20silver
84,UGG® Classic Galaxy Bling Mini Bootie (Women),$107.96,"['CHARCOAL SUEDE', 'QUARTZ SUEDE', 'BLACK SUEDE']",https://shop.nordstrom.com/s/ugg-classic-galaxy-bling-mini-bootie-women/5351301?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=charcoal%20suede
85,Jeffrey Campbell Cloudy Waterproof Chelsea Rain Boot (Women),$48.71 – $59.95,"['BLACK MATTE BLACK', 'BLUE IRIDESCENT']",https://shop.nordstrom.com/s/jeffrey-campbell-cloudy-waterproof-chelsea-rain-boot-women/4459923?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=black%20matte%20black
86,Vince Havana Notch Bootie (Women),$157.98,"['BLACK LEATHER', 'LIGHT STRAW SUEDE', 'CASHEW', 'MILITAIRE', 'WALNUT']",https://shop.nordstrom.com/s/vince-havana-notch-bootie-women/5264835?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=black%20leather
87,Halogen® x Atlantic-Pacific Gabriela Platform Oxford (Women) (Nordstrom Exclusive),$65.96,"['RED CHILI PATENT LEATHER', 'MINT PATENT LEATHER', 'PINK SMOKE PATENT LEATHER', 'BROWN MULTI PLAID FABRIC']",https://shop.nordstrom.com/s/halogen-x-atlantic-pacific-gabriela-platform-oxford-women-nordstrom-exclusive/5328449?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=red%20chili%20patent%20leather
88,Gibson Cozy Tunic (Regular & Petite),$36.00 – $40.20,[],https://shop.nordstrom.com/s/gibson-cozy-tunic-regular-petite/4978653?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=heather%20grey
89,Nike Epic React Flyknit 2 Running Shoe (Women),$99.90,"['PINK BLAST/ BLACK/ WHITE', 'PURE PLATINUM/ WOLF GREY', 'BLACK/ ANTHRACITE/ GUN SMOKE', 'BLACK/ BLACK/ EMBER GLOW/ GOLD']",https://shop.nordstrom.com/s/nike-epic-react-flyknit-2-running-shoe-women/5514922?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=pink%20blast%2F%20black%2F%20white
90,Zella Weekend Full Zip Hoodie,$39.49,"['BLACK', 'IVORY CLOUD', 'GREY LILAC']",https://shop.nordstrom.com/s/zella-weekend-full-zip-hoodie/5400604?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=black
